
ID,NAME,DESIGINATION,SALARY
139,Anushka,Actor,3000000.0
140,Vamika,General_Manager,30000.0
141,Pradeep,TL,80000.0
142,SasiKala,Professor,60000.0
143,SreeVani,CEO,200000.0
144,SreeVidhya,Clerk,25000.0
145,SreeDevi,Cardiologist,500000.0
146,Mamatha,Neurologist,300000.0
147,Praveen,Orthologist,200000.0
148,Java_Trainer,Java_Trainer,40000.0
149,Riza,SQL_Trainer,30000.0
150,Ramya,IT_Manager,70000.0
151,Raghu,Traffic_Police,30000.0
152,Akhila,Vice_Principal,50000.0
153,Srinath,CFO,300000.0
154,Raghava,COO,100000.0
155,SreeRam,Associate_Officer,40000.0
156,Ravindra,Analyst,50000.0
157,HarshaVardhan,MRO,40000.0
158,AnandReddy,VRO,35000.0
159,Vishnu,President,60000.0
160,Sainath,Civil_Engineer,25000.0
161,Mounika,Loan_Officer,60000.0
162,Ayesha,Branch_Manager,50000.0
163,Shobha,Financial_Manager,100000.0
164,ObulReddy,Taxi_Driver,40000.0
165,ReddyLakshmi,Risk_Manager,40000.0
166,Usha,Investment_Banker,60000.0
167,Maheswari,Treasury_Manager,70000.0
168,Rahul,Credit_Analyst,50000.0
169,Bhavitha,Associate_Professor,100000.0
170,Divakar,Assistant_Professor,60000.0
171,IndraSena,Lecturer,40000.0
172,Rajmouli,Director,500000.0
173,Renuka,Ticket_Inspector,50000.0
174,Sandhya,Traffic_Controller,65000.0
175,Sandeep,Assistant_Station_Master,35000.0
176,Rani,Cheif_Safety_Officer,5000.0
177,Sudha,Painter,79990.0
178,Vasudha,Software_Engineer,90000.0
179,Prakash,Plumber,3000.0
180,Jagadeesh,Carpenter,79900.0
181,Viraj,System_Engineer,80000.0
182,KoushalReddy,System_Engineer,85640.0
183,Vithika,Oncologist,100000.0
184,VarunSandesh,Actor,12290.0
185,Siddhu,Youtuber,65000.0
186,Vishnu,Influencer,87000.0
187,Meghana,Pathologist,79008.0
188,Chaman,urologist,89900.0
189,Abhishek,Watchmen,8000.0
190,Richa,Manager,800000.0
191,Nilesh,Dermatologist,943670.0
192,Ashish,Dentist,9800.0
193,Harpreet,Software_Developer,50000.0
194,Gangadhar,Lab_Assistance,86600.0
195,Ashwini,Master_Cheff,90000.0
196,HarshaReddy,Youtuber,87656.0
197,SudheerReddy,Pharmacist,89990.0
198,Jyothirmayi,Lab_Incharge,80000.0
199,UdayKiran,Business_Analyst,98770.0
200,NavyaSree,Software_Developer,30000.0
201,RaviKumar,Pathirana,60000.0
202,Ramu,Trainer,40000.0
203,Shankar,GM,30000.0
204,sunny,teacher,45000.0
205,pallavi,Doctor,400000.0
206,Gopal,Farmer,30000.0
207,Vaishanvi,HR,50000.0
208,Bharthi,Manager,80000.0
209,Bharath,Developer,60000.0
210,surya,Tester,40000.0
211,Chandana,TL,70000.0
212,Tejswani,Bank_Manager,70000.0
213,Ajay,Health_Manager,80000.0
214,Prashanth,Education_Manager,90000.0
215,RamChandra,MP,200000.0
216,VenkataPrasad,MLA,100000.0
217,Vanitha,Station_Master,40000.0
218,Manasa,TC,35000.0
219,Naveen,Project_Manager,90000.0
220,SubhaSree,Product_Manager,70000.0
221,Rubby,Marketing_Manager,60000.0
222,Rekha,Sales_Manager,50000.0
223,Sirisha,Data_Scientist,60000.0
224,Pujitha,Network_Administrator,70000.0
225,Nithesh,Accountant,25000.0
226,Kalavathi,Social_media_Manager,300000.0
227,MadhuSudhan,CFO,75000.0
228,Navadeep,CIO,90000.0
229,Deepika,CMO,85000.0
230,Srikanth,CHRO,75000.0
231,Sravanthi,President,85000.0
232,Abid,Manager,70000.0
233,Vinay,Painter,20000.0
234,Vineeth,Plumber,5000.0
235,Nikhil,Actor,500000.0
236,Samantha,Assistant,50000.0
237,Virat,Coach,300000.0
238,RohitSharama,Captain,500000.0
239,Hardik,Bowler,100000.0
240,Dhoni,Batsman,400000.0
241,Shreya,Physiotherapist,35000.0
242,Vijay,Team_Manager,55000.0
243,Amarnath,Umpire,100000.0
244,Bhargav,Real_Estate,100000.0
245,SunilReddy,Construction_Manager,55000.0
246,Ravali,Architect,80000.0
247,Prabhas,Sales_Agent,22000.0
248,JayaChandra,Technician,30000.0
249,Uday,Senior_Developer,80000.0
250,Swarana,Junior_Developer,30000.0
251,Maneesha,NCC_Coach,45000.0
252,Reshma,PT_Master,22000.0
253,Pradeepthi,VRO,45000.0
254,Haritha,MRO,55000.0
255,Sanjay,Syatem_Engineer,50000.0
256,MalliReddy,Harish,50000.0
257,Harish,Teacher,35000.0
258,Bhashitha,Business_Analyst,60000.0
259,Nithiya,Dentist,55000.0
260,Divya,General_Manager,45000.0
261,Suchitra,Orthopedic,60000.0
262,Charan,TC,45000.0
263,Priyanka,Station_Master,35000.0
264,Roja,Assintant_Director,45000.0
265,RaviKanth,IT_Employee,55000.0
266,RohithReddy,IT_Manager,60000.0
267,Keerthana,Minister,400000.0
268,VaraLakshmi,Asha_Worker,20000.0
269,Sujitha,Selenium_Trainer,40000.0
270,NarendraModi,Prime_Minister,400000.0
271,ChandraBabu,Cheif_Minister,300000.0
272,Balarama,Risk_Manager,35000.0
273,Sreedevi,Assistant_Officer,45000.0
274,Srilekha,Lab_Assistant,10000.0
275,ShivaKumar,Biologist,40000.0
276,Varshini,Anchor,45000.0
277,Lasya,Makeup_Artist,35000.0
278,Anjali,Artist,35000.0
279,Meghana,Scientist,80000.0
280,Prabhvathi,IAS,95000.0
281,Seetha,Researcher,60000.0
282,Nagamani,English_Teacher,45000.0
283,RamaDevi,Telugu_Teacher,50000.0
284,Budevi,Social_Teacher,35000.0
285,Bhavana,Maths_Teacher,65000.0
286,AnilKumar,Security,34000.0
287,Haripriya,Judge,80000.0
288,Vasanthi,Author,55000.0
289,PavanKalyan,Dupty_CM,80000.0
290,Manjula,Graphic_Designer,60000.0
291,Naresh,Musician,65000.0
292,GeethaMadhuri,Singer,85000.0
293,Nithesh,Batsman,200000.0
294,Syed,Conductor,70000.0
295,Sadiya,Investment_Banker,65000.0
296,KiranReddy,Sports_Manager,85000.0
297,JaganMohanReddy,Ex_CM,200000.0
298,SaiChandraKiran,Director,300000.0
299,RamGopalVarama,Actor,100000.0
300,Radha,HR,65000.0
